Fecha,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
2000-09-30,1.41,-2.08,-0.19,-4.62,0.58,0.48,0.76,-1.49,-0.16,1.37,0.75,12.04,-0.69
2000-10-31,0.52,0.75,-0.73,-2.56,0.4,-0.68,0.06,-0.24,-0.84,0.26,-0.04,7.84,-1.04
2000-11-30,-0.81,4.25,-2.09,-3.85,0.45,-1.36,0.66,1.25,-1.53,1.02,0.06,16.57,-2.05
2000-12-31,-0.02,6.82,0.01,1.16,1.6,1.27,0.48,4.72,2.48,1.25,0.75,0.63,1.33
2001-01-31,3.44,0.25,3.08,5.86,0.75,2.98,1.63,2.14,1.65,1.11,3.33,-2.71,2.23
2001-02-28,1.82,-0.16,1,-2.21,1.2,0.45,0.54,-0.72,-2.64,0.54,0.3,10.21,-0.89
2001-03-31,1.62,4.38,-0.37,-1.75,1.08,-0.42,0.51,0.38,-1.99,-0.61,-0.11,6.2,-0.68
2001-04-30,1.57,-3.62,0.48,1.14,0.75,1.1,0.94,0.49,2.46,0.58,1.74,-9.91,1.04
2001-05-31,0.33,0.81,2.35,2.78,0.77,1.85,0.68,0.32,0.43,1.61,1.41,-1.3,0.8
2001-06-30,0.12,-0.77,3.6,1.6,0.17,0.63,0.17,0.17,0.19,-0.87,0.19,1.1,0.13
2001-07-31,0.91,-0.4,0.73,-2.86,0.31,0.49,0.54,-0.4,-1.44,0.79,0.1,3.53,-0.4
2001-08-31,1.42,1.53,1.06,0.3,0.94,0.9,1.05,0.06,-0.96,0.99,-0.31,7.52,0.19
2001-09-30,0.78,2.46,-0.14,-4.25,0.23,-2.54,-0.13,-0.7,-3.48,-2.67,-2.21,9.41,-1.42
2001-10-31,1.17,3.36,1.03,2.78,0.58,1.48,1.34,2.08,0.99,0.85,1.64,-2.98,0.95
2001-11-30,0.8,-5.43,0.86,4.83,0.55,1.05,-0.24,0.21,2,0.14,1.36,-6.55,0.58
2001-12-31,-0.94,1.48,0.15,4.21,0.56,1.07,0.53,1.38,1.8,0.45,0.97,-2.51,0.99
2002-01-31,1.48,-0.72,1.86,2.73,0.65,0.78,0.86,0.69,-0.37,0.77,0.97,3.43,0.3
2002-02-28,-0.49,-2.02,-0.33,1.81,-0.07,-0.71,0.56,-0.35,-1.23,-0.44,-0.11,3.9,-0.15
2002-03-31,0.53,0.09,0.52,3.31,0.47,1.53,0.45,0.64,1.55,0.73,1.45,-4.46,0.9
2002-04-30,0.96,-1.04,1.39,1.44,0.76,0.46,1.13,0.98,-0.42,-0.13,0.7,4.83,0.52
2002-05-31,0.33,2.7,0.91,0.01,0.53,0.01,0.99,1.23,-0.34,0,0.31,3.46,0.5
2002-06-30,0.04,6.55,-1.17,-2.92,0.22,-2.83,0.69,-0.22,-2.49,-1.7,-1.07,5.48,-0.95
2002-07-31,-1.59,4.13,-1.33,-3.09,-0.13,-3,0.57,-0.78,-3.89,-1.74,-1.85,6.44,-1.4
2002-08-31,0.5,2.2,0.09,1.19,0.69,0.6,0.97,0.63,0.41,0.61,0.58,0.15,0.37
2002-09-30,1.46,2.84,-0.44,-2.52,0.15,-0.7,-0.33,0.54,-1.6,-0.28,-1.1,7.31,-0.33
2002-10-31,1.04,-3.76,-0.31,1.54,0.16,0.31,-0.63,-0.86,1.23,0.32,0.84,-4.05,-0.31
2002-11-30,2.51,-1.64,2.39,1.9,0.25,2.16,0.54,0.47,2.24,0.54,1.85,-5.47,1.06
2002-12-31,1.57,4.89,2.22,0.48,0.94,0.44,1.53,1.92,-1.49,0.46,0.23,4.43,0.77
2003-01-31,2.83,4.41,2.43,0.12,0.83,1.54,1.06,1.82,0.05,0.4,0.67,1.62,0.72
2003-02-28,1.33,4.02,0.92,0.84,0.24,0.26,0.79,1.66,-0.37,0.18,-0.04,1.3,0.31
2003-03-31,0.89,-4.45,1.13,0.19,0.15,0.83,0.19,-1.22,0.2,-0.07,0.49,-0.75,-0.04
2003-04-30,1.5,0.65,3.45,4.5,0.31,2.72,0.91,1.17,2.98,0.99,1.86,-6.56,1.34
2003-05-31,1.36,4.9,2.7,4.33,1.07,3.01,2.07,3.97,3.62,1.54,2.12,-4.99,2.05
2003-06-30,-0.58,-1.92,2.67,2.68,0.34,1.81,0.44,0.56,1.28,0.48,0.71,-1.62,0.68
2003-07-31,-0.72,-1.71,1.17,1.04,-0.06,1.19,-0.92,-0.35,1.18,0.53,0.41,-3.61,0.25
2003-08-31,-0.87,0.78,1.37,3.74,0.31,1.33,0.43,2.02,1.79,0.7,0.58,-3.54,0.78
2003-09-30,1.71,-0.19,2.42,2.64,0.78,1.33,1.05,2.15,0.94,0.77,0.86,1.36,1.21
2003-10-31,1.46,1.04,2.67,2.59,1.15,1.91,0.35,1.11,2.99,1.11,1.59,-6.56,1.52
2003-11-30,0.92,0.18,1.54,0.96,0.46,1.16,0.69,0.31,1.3,0.44,1.02,-1.36,0.7
2003-12-31,0.54,3.81,1.98,4.03,0.54,1.72,1.01,2.93,1.91,0.98,1.27,-1.78,1.39
2004-01-31,1.19,1.99,3.01,2.51,1.09,2.34,0.92,1.17,1.92,0.97,1.46,-0.9,1.56
2004-02-29,0.17,5.29,0.75,2.53,0.63,1.13,0.84,1.5,1.23,0.51,0.57,0.18,1.11
2004-03-31,0.61,-0.51,0.46,1.72,0.32,0.16,0.03,0.64,0.41,0.17,0.38,-1.48,0.43
2004-04-30,0.2,-5.32,0.93,-2.52,-0.82,0.02,0.62,-1.78,-1.65,-0.39,-0.45,3.84,-0.68
2004-05-31,-1.28,-1.18,-0.1,-1.81,0.24,-0.23,0.4,-0.81,-0.35,0,-0.37,-0.24,-0.82
2004-06-30,-1.06,-3.16,2.02,0.2,0.42,1.13,0.55,-0.19,0.91,0.17,0.22,-0.51,0.34
2004-07-31,0.13,-1.19,0.19,-0.27,0.06,-0.82,0.62,-0.14,-1.54,-0.92,0.07,6.38,-0.49
2004-08-31,0.4,-0.84,0.88,1.33,-0.09,0.35,0.36,-0.39,-0.22,0.11,0.31,1.26,-0.1
2004-09-30,-0.17,2.2,1.04,2.8,0.85,1.03,0.12,0.08,2.1,0.42,0.52,-2.16,0.99
2004-10-31,-0.44,3.58,1.43,1.85,-0.05,1.24,0.28,1.38,0.74,0.74,0.4,-0.92,0.68
2004-11-30,0.81,4.75,3.37,3.28,1.4,3.06,0.75,2.8,3.08,1.64,1.49,-5.74,2.44
2004-12-31,0.56,0,2.66,2.01,0.58,2.44,0.6,0.33,1.78,1.33,0.99,-3.91,1.45
2005-01-31,-0.96,-4.38,0.37,1.43,0.81,0.04,0.44,-0.47,-0.17,0,0.12,3.87,0.06
2005-02-28,-0.58,0.05,1.34,3.46,0.8,1.44,0.85,1.71,2.1,0.65,0.81,1.18,1.36
2005-03-31,-1.4,-0.06,0.32,-1.97,0.19,-0.04,0.24,-0.27,-0.96,0.32,-0.42,2.44,-0.44
2005-04-30,-3.16,-3.54,-0.52,-0.49,-0.3,-1.28,-0.03,-0.8,-1.84,-1.05,-1.08,3.93,-1.41
2005-05-31,-1.33,2.32,0.06,0.72,0.47,0.65,-0.1,0.88,1.15,0.95,-0.02,-4.75,0.18
2005-06-30,1.07,2.6,1.33,1.6,0.81,1.33,0.1,1.16,1.95,0.85,0.95,-0.32,1.31
2005-07-31,1.64,-0.13,1.73,2.57,0.78,2.15,0.81,1.19,2.65,1.15,1.49,-2.42,1.34
2005-08-31,0.66,1,1.24,1.52,0.62,0.92,0.36,0.83,0.97,0.61,0.53,2.59,0.79
2005-09-30,1.42,0.79,1.12,4.02,0.87,1,0.62,2.69,2.22,0.35,1.22,1.98,1.47
2005-10-31,-0.15,-0.92,-0.32,-2.3,0.01,-1.73,0.57,-0.74,-1.74,-1.45,-0.38,2.33,-1.49
2005-11-30,0.04,3.79,1,2.79,0.61,1.25,0.15,1.64,2.11,1.12,0.67,-3,1.6
2005-12-31,0.92,-1.53,1.22,2.84,0.68,1.42,0.54,1.35,2.49,1.38,1.26,-0.35,1.91
2006-01-31,2.5,1.74,2.53,5.26,1.15,3.41,0.93,2.58,3.81,2.72,2.38,-2.88,2.86
2006-02-28,1.16,-1.86,0.65,1.61,0.46,0.51,0.41,0.02,0.16,1.04,0.73,0.64,0.37
2006-03-31,1.07,2.84,1.72,1.22,0.98,1.85,0.55,0.94,2.38,1.44,1.57,-1.39,1.64
2006-04-30,0.64,3.87,1.93,3.65,1.02,1.64,1.21,2.38,1.72,1.19,1.26,-0.12,1.71
2006-05-31,0.91,-1.46,0.86,-3.89,0.02,0.08,0.59,-1.55,-2.48,0.09,-0.25,2.46,-1.33
2006-06-30,0.12,-1.42,-0.15,-0.97,0.63,0.12,0.36,-0.15,-0.62,0.87,0.21,1.18,-0.28
2006-07-31,0.66,-2.16,0.09,0.67,0.51,-0.11,0.64,0.06,-0.31,0.58,0.17,1.73,-0.05
2006-08-31,0.98,0.2,0.99,1.33,-0.09,1.12,0.37,-0.39,1.14,0.53,0.92,-1.56,0.66
2006-09-30,0.93,-0.55,0.33,0.11,0.09,0.35,0.14,-0.67,0.05,0.41,0.4,-2.36,-0.03
2006-10-31,0.54,1.02,1.94,2.57,0.65,2.06,0.67,0.97,1.94,1.32,1.32,-3.8,1.63
2006-11-30,0.92,2.26,1.79,3.23,0.75,1.82,0.6,1.99,2,1.42,1.29,-2.68,1.85
2006-12-31,1.27,1.46,1.65,2.91,1.07,1.68,0.72,1.16,1.53,1.33,1.28,0.39,1.75
2007-01-31,1.3,1.13,1.5,0.79,0.83,2.01,0.69,0.61,1.21,1.91,1.35,-1.07,1.21
2007-02-28,1.17,-1.44,1.45,1,0.51,2.07,1.06,0.18,0.82,2.55,1.14,0.28,0.96
2007-03-31,0.6,-1.41,1.08,1.85,1.01,1.46,0.6,0.27,1.15,0.63,0.81,-0.51,0.96
2007-04-30,0.26,2.41,1.64,2.55,0.89,1.97,0.71,1.52,1.98,1.6,1.34,-2.65,1.63
2007-05-31,1.1,2.3,1.8,2.7,1.21,2.13,0.55,1.92,2.24,1.71,1.56,-1.99,2.04
2007-06-30,0.11,2.29,0.27,2.36,0.77,-0.07,0.48,1.07,0.77,-0.53,1,2.36,0.82
2007-07-31,-0.53,-1.22,-0.56,2.75,0.51,-0.32,0.07,1.16,0.09,-0.54,0.04,4.86,0.41
2007-08-31,-1.45,-2.8,-1.18,-2.74,-0.94,-1.44,-0.48,-1.16,-1.6,0.01,-0.77,0.92,-2.22
2007-09-30,1.61,4.69,0.95,4.28,1.23,1.34,1.64,3.3,2.56,1.31,1.53,-2.07,1.99
2007-10-31,1.77,2.8,1.75,4.85,1.68,2.14,1.14,3.04,2.81,1.91,2,-0.26,3.03
2007-11-30,-1.31,-0.16,-1.69,-2.37,-0.18,-2.02,-0.94,-0.63,-2.25,-1.49,-1.12,7.19,-1.48
2007-12-31,-0.77,1.17,0.02,1.3,0.54,0.07,0.36,1.04,0.43,-0.25,0.22,0.56,0.4
2008-01-31,-0.09,2.55,-2.33,-5.03,-1.12,-2.71,-0.12,-0.1,-4,-1.26,-1.18,5.56,-2.72
2008-02-29,-0.83,6.2,0.14,2.8,1.2,0.84,-0.49,3.12,1.4,0.6,0.64,3,1.42
2008-03-31,-3.17,-0.56,-1.26,-3.79,-0.49,-1.68,-3.06,-1.69,-2.36,-0.45,-1.62,1.92,-2.62
2008-04-30,0.76,-0.78,0.88,1.9,0.59,1.18,1.87,0.78,2.23,1.49,1.3,-4.61,0.97
2008-05-31,1.07,1.62,1.37,1.63,1.26,1.76,1.03,1.14,2.27,1.36,1.59,-1.42,1.72
2008-06-30,-0.81,3.3,-0.31,-2.74,1.56,-1.13,-0.27,0.3,-1.64,-1.09,-0.84,7.51,-0.68
2008-07-31,-1.88,-3.33,-1.82,-3.3,-1,-1.66,-0.23,-2.13,-2.61,0.11,-1.25,0.72,-2.64
2008-08-31,-0.66,-1.14,-0.72,-3.36,-1.35,-0.25,-0.03,-1.33,-1.46,0.51,-0.23,-2.15,-1.56
2008-09-30,-10.27,0.1,-5.18,-9.82,-2.85,-6.27,-5.06,-3.13,-6.75,-2.76,-5.38,3.78,-6.18
2008-10-31,-12.37,3.45,-7.75,-13.31,-0.44,-6.25,-8.67,-1.57,-6.29,-2.45,-6.92,11.7,-6
2008-11-30,-2.76,2.14,-4.35,-3.91,-5.87,-3.01,-3.08,0.33,-1.88,0.06,-2.09,4.28,-1.92
2008-12-31,1.77,1.4,-1.97,-0.1,0.05,-0.71,-0.35,1.18,0.81,1.62,0.31,-1.46,-1.19
2009-01-31,4.91,-0.16,0.82,-1.12,0.79,1.32,1.12,0.29,-0.17,0.56,1,2.82,0.6
2009-02-28,1.64,-0.31,-1.22,-1.33,-0.46,-0.91,0.65,-0.55,-1.61,0.06,-0.16,3.28,-0.37
2009-03-31,2.35,-1.8,0.22,3.5,0.21,1.17,0.57,0.48,1.88,1.25,1,-4.62,0.08
2009-04-30,5,-1.4,3.87,6.63,-0.12,3.37,2.21,1.27,3.75,0.81,3.42,-8.2,0.92
2009-05-31,5.78,2.13,5.04,8.84,1.46,4.42,3.65,3.48,5.16,1.07,3.92,0.08,3.12
2009-06-30,2.41,-1.47,1.98,0.13,0.36,1.23,1.26,-0.76,0.09,1.04,1.01,-0.94,0.24
2009-07-31,6.11,-0.12,3.11,4.51,0.42,2.91,3.22,1.66,2.77,0.68,2.6,-5.96,1.53
2009-08-31,3.15,0.54,2.44,1.66,0.7,2.07,2.02,0.5,1.57,1.02,1.62,-1.65,1.13
2009-09-30,3.68,1.51,4.1,5.36,0.85,3.36,3.25,2.31,2.85,1.1,2.2,-3.94,1.71
2009-10-31,1.19,-1.47,1.39,1.08,-0.05,0.43,1.85,-0.04,-0.86,0.26,0.32,3.14,-0.21
2009-11-30,0.8,3.32,2.02,1.51,0.09,1.52,0.96,1.65,1.3,0.68,0.89,-2.27,0.82
2009-12-31,2.15,-2.53,3.24,2.29,0.72,2.35,1.41,-0.28,1.86,1.02,1.61,-3.73,0.66
2010-01-31,0.53,-2.78,1.87,-0.78,0.28,0.77,1.72,-0.84,-0.95,0.48,0.6,1.83,-0.36
2010-02-28,0.36,0.9,0.31,-0.19,0.5,0.76,0.23,0.47,0.84,0.57,0.57,-2.61,0.13
2010-03-31,2.29,2.75,3.36,4.21,0.77,2.73,1.36,1.71,2.87,1.09,1.79,-4.96,1.71
2010-04-30,1.99,1,2.51,1.33,0.18,1.64,1.13,0.76,1,0.38,1.22,-2.87,0.85
2010-05-31,-2.44,-2.48,-2.5,-4.8,-0.5,-2.57,-1.02,-1.28,-3.71,-1.15,-1.86,4.45,-2.72
2010-06-30,0.17,0.11,-1.05,-0.39,-0.45,-1.06,0.78,-0.23,-1.61,0.23,-0.34,4.19,-0.79
2010-07-31,2.27,-0.8,1.43,2.96,0.9,1.7,1,0.33,1.91,1.27,1.74,-4.26,0.69
2010-08-31,1.21,3.1,-0.49,0.28,-0.44,-0.32,0.88,1.08,-0.96,0.7,0.31,3.89,0.06
2010-09-30,1.89,2.67,2.17,4.29,1.6,2.72,1.32,2.63,4.08,1.34,2.15,-8.26,2.19
2010-10-31,2.14,3.11,2.06,2.32,1.05,1.87,1.07,1.59,2.08,0.47,1.49,-1.79,1.48
2010-11-30,-0.12,-2.24,0.65,-0.49,0.44,0.28,0.56,-0.47,0.66,-0.25,0.37,-1.62,-0.09
2010-12-31,1.45,4.36,3.11,2.26,0.94,2.6,0.55,2.5,3.42,1.16,1.57,-5.07,2.05
2011-01-31,1.81,-0.63,1.73,-0.65,0.56,1.41,1.81,-0.55,0.52,0.93,0.97,-0.76,0.13
2011-02-28,1.62,1.77,1.44,0.11,0.59,1.29,1.03,0.95,1.39,0.62,1.12,-3.14,0.83
2011-03-31,0.38,-1.64,0.43,1.54,0.8,0.2,0.22,-0.28,0.21,0.31,0.34,-1.7,-0.18
2011-04-30,0.2,3.67,1.29,1.4,1.05,1.14,0.97,2.11,1.39,0.89,0.72,-1.97,1.14
2011-05-31,-0.17,-3.39,-0.14,-1.91,-0.37,-0.52,0.33,-1.5,-1.08,-0.11,-0.05,1.34,-1.16
2011-06-30,-0.91,-2.39,-0.68,-1,-0.14,-1.38,-0.1,-1.3,-1.17,-0.14,-0.56,2.7,-1.38
2011-07-31,-0.33,2.58,-0.15,0.77,-0.03,-0.3,0.18,1.29,-0.3,-0.49,-0.06,1.99,0.34
2011-08-31,-1.95,0.07,-4.02,-3.9,-1.61,-4.01,-0.85,-0.63,-4.21,-1.19,-2,6.69,-2.52
2011-09-30,-1.9,-0.57,-3.7,-6.95,-1.59,-3.41,-0.48,-1.42,-4.61,-1.02,-1.97,7.77,-2.62
2011-10-31,1.29,-3.17,2.37,3.65,1.61,2.98,0.63,0.53,3.9,1.72,1.47,-7.21,0.94
2011-11-30,-0.94,0.14,-1.08,-2.72,0.02,-0.58,-0.34,-0.66,-1.31,0.17,-0.24,1.31,-0.93
2011-12-31,0.29,0.34,0.5,-1.81,0.06,-0.34,0.45,-0.22,-0.56,0.56,0.12,0.41,-0.54
2012-01-31,2.36,0.46,3.24,3.95,0.95,2.88,1.16,1.9,3.27,0.95,2.02,-6.79,1.47
2012-02-29,2.18,0.91,2.02,3.41,0.71,1.7,1.19,1.34,2.48,1.11,1.72,-5.22,1.4
2012-03-31,0.65,-2.04,0.91,-1.33,0.23,0.58,0.61,-0.61,0.33,0.24,0.55,-1.23,0.01
2012-04-30,-0.17,-0.03,-0.12,-0.27,-0.13,-0.18,0.34,-0.59,-0.68,-0.11,-0.2,0.57,-0.33
2012-05-31,-0.77,2.59,-1.86,-5.31,-1.15,-1.91,-0.03,-0.67,-3.75,-0.48,-1,6.77,-1.4
2012-06-30,0.72,-2.72,-0.09,0.26,0.06,0.07,0.46,-0.63,0.6,0.23,0.7,-2.58,-0.37
2012-07-31,0.92,3.12,0.89,0.81,0.41,0.48,1.25,1.44,0.39,0.06,1.17,0.87,0.76
2012-08-31,0.76,-0.82,1.61,0.75,0.49,1.29,0.82,0.37,1.08,0.44,0.95,-3.67,0.68
2012-09-30,0.57,-1.04,1.69,2.73,0.43,1.2,0.76,0.51,1.57,0.06,1.02,-3.85,0.73
2012-10-31,0.17,-3.1,1.18,0.28,0.28,0.48,0.58,-0.83,0.09,-0.79,0.3,0.05,-0.25
2012-11-30,0.41,-0.04,0.82,1.31,0.37,0.8,0.54,0.27,0.52,1,0.56,-1.5,0.46
2012-12-31,0.98,0.57,2.59,3.3,0.37,1.93,0.73,1.11,1.45,1.45,1.17,-3.87,1.08
2013-01-31,1.58,1.86,2.19,3.03,1.35,2.14,1.16,1.65,3.08,-0.16,2.04,-4.52,2.06
2013-02-28,0.09,-0.99,0.52,-0.12,0.33,0.41,0.56,-0.12,0.37,0.39,0.47,-0.35,0.32
2013-03-31,0.77,0.89,1.49,0.68,0.35,1.43,1.13,0.64,1.44,0.69,1.3,-1.89,0.93
2013-04-30,0.52,1.92,1.75,0.63,0.08,0.78,0.5,1.14,0.64,0.61,0.55,-2.86,0.76
2013-05-31,1.34,-2.61,2.23,0.33,0.24,1.87,0.5,-0.23,1.35,0.59,1.01,-2.45,0.67
2013-06-30,-0.81,-2.73,-1.05,-3.21,0.28,-1.13,-1.22,-1.76,-0.94,-0.22,-1.02,0.56,-1.33
2013-07-31,0.6,-0.76,1.4,0.75,1,1.49,0.67,0.16,2.15,1.03,1.17,-3.69,0.91
2013-08-31,0.46,-1.39,-0.34,-1.22,-0.59,-0.11,0.14,-0.91,-0.76,-0.01,-0.46,1.07,-0.68
2013-09-30,0.43,-0.57,1.64,2.35,0.63,1.6,0.47,0.69,2.33,0.84,1.4,-4.52,1.27
2013-10-31,0.95,1.45,1.61,2.38,1.42,1.45,0.85,0.94,2.04,0.45,1.45,-2.07,1.25
2013-11-30,0.07,1.14,1.22,0.3,1.05,1.19,0.67,0.69,1.54,0.3,0.87,-1.65,1.09
2013-12-31,0.48,0.52,1.2,1.01,0.76,1.22,0.4,0.65,1.57,0.61,1.02,-1.55,1.09
2014-01-31,1.37,-1.75,0.47,-1.95,0.42,0.3,0.75,-0.88,-0.32,0.46,0.02,0.94,-0.33
2014-02-28,0.62,1.37,2.43,1.9,0.66,2.23,0.99,0.9,2.53,1.1,1.49,-3.22,1.57
2014-03-31,0.47,-1.19,0.63,0.08,-0.05,-0.14,0.36,-0.54,-0.56,-0.5,0.28,0,-0.7
2014-04-30,0.29,0.5,0.25,0.04,-0.23,0.15,0.55,-0.23,-0.83,0.13,0.45,1.25,-0.71
2014-05-31,0.45,1.5,0.91,2.15,0.2,0.87,0.59,0.72,1.05,0.62,1.03,-1.68,1.14
2014-06-30,0.29,1.01,1.45,1.15,0.34,1.55,0.63,0.64,1.31,0.89,1.26,-2.64,0.91
2014-07-31,-0.01,-0.54,-0.59,0.4,-0.05,-0.7,0.25,-0.27,-0.9,-0.53,0.04,0.61,-0.4
2014-08-31,-0.03,2.83,-0.11,0.69,0.52,0.35,0.21,1.12,1.28,0.43,0.56,-1.7,0.8
2014-09-30,-0.95,1.79,-1.99,-1.56,0.15,-1.65,0.22,0.6,-0.93,-0.75,-0.05,2.42,-0.12
2014-10-31,-1.11,0.41,-1.68,-0.69,0.3,-1.52,-0.07,-0.41,-0.13,-1.36,-0.6,-2.36,-0.62
2014-11-30,-0.09,4.19,-0.34,-0.14,0.59,0.7,0.14,1.77,1.16,0.8,0.61,-0.61,1.26
2014-12-31,-0.66,0.88,-0.89,-2.2,0.13,-0.22,-0.35,-0.04,0.12,0.32,-0.16,0.33,0.21
2015-01-31,0.13,3.99,-1.55,-0.34,0.48,-1.04,-0.04,2.29,-0.09,0.04,0.25,1.09,0.17
2015-02-28,1.21,-0.29,1.85,1.62,0.2,2.7,0.86,0.7,2.52,1.39,1.5,-3.85,1.71
2015-03-31,0.21,0.97,0.28,0.39,0.8,0.43,0.21,1.01,0.36,0.56,0.33,0.06,0.69
2015-04-30,1.57,-2.32,0.71,3.78,-0.29,1.13,0.51,-0.91,0.55,0.66,0.69,-1.43,0.26
